grupo,n_contribuyentes,perct_recepcion_extra,recepcion_extragrupo,perct_emision_extra,emision_intragrupo,emision_extragrupo,tasa_emision_intra_extra
1255,3,70.55035648402821,1808324253.0,11.145901866788718,754843877.0,94687988.0,7.971907450393814
2476,3,37.529179212305685,186312389.0,11.519064034402508,310134357.0,40375449.0,7.681260882077126
2319,4,41.207145204190994,140894997.0,11.611605552765399,201023853.0,26408554.0,7.6120734592284
2920,47,29.061763141144255,47627169546.0,11.953987843166516,116255418426.0,15783972772.0,7.3654092100457405
2185,3,83.60682042634917,3318625491.0,12.289842330418306,650698392.0,91175080.0,7.136800889014849
770,14,18.362950610016014,620171816.0,12.304404564728982,2757127558.0,386847398.0,7.127171004004013
2919,3,36.91402727930588,3732086285.0,12.733003744188304,6378125361.0,930623232.0,6.853606423829316
1340,7,14.489631031945127,213198634.0,12.926153502663604,1258188964.0,186778744.0,6.736253478607822
1866,7,42.357908534185476,583521927.0,13.081059670755495,794076607.0,119506329.0,6.644640611460837
1479,6,78.87048026112944,242774332.0,13.086324082530004,65039607.0,9792813.0,6.641565298959553
3230,16,47.70086092314675,7833086698.0,13.110879685955245,8588182324.0,1295888654.0,6.62725327325846
464,11,22.34764284220521,2942588805.0,13.31616642594827,10224745333.0,1570701305.0,6.509668834202694
1242,13,51.66340657918514,2531153213.0,13.343951480420166,2368162145.0,364667456.0,6.494032044910528
1237,19,44.539149886387015,6957717865.0,13.545987766346283,8663859742.0,1357490937.0,6.382259730696088
1124,2,54.027087768633095,211310864.0,13.810570023732161,179809355.0,28811766.0,6.2408307425514975
1073,5,94.3744139392738,665778934.0,13.982507917750459,39686569.0,6451220.0,6.151792839183907
2435,25,52.338687870397585,3094453690.0,14.126091252704482,2817910215.0,463540759.0,6.0790991089523585
209,3,97.68839445979881,2539482923.0,14.331558261122657,60091916.0,10052836.0,5.977608308739941
889,2,77.66245034330362,960758864.0,14.477119158179425,276336875.0,46777679.0,5.9074516074215655
2441,4,45.625557653351414,4143492557.0,14.540146004208687,4938023966.0,840155770.0,5.877510031264798
2254,9,51.77005552680893,7759046312.0,14.689663760411358,7228471536.0,1244677035.0,5.807507757223142
939,3,64.31914634695268,705922116.0,14.792392551256903,391608178.0,67984797.0,5.760231629433269
100,5,98.35309128906007,6837687942.0,14.824928990785196,114496125.0,19928330.0,5.745394872525696
242,3,55.222644200617374,20162954161.0,14.846140228431493,16349158674.0,2850392254.0,5.735757473750137
440,5,40.765015405753,159770278.0,14.977874049270676,232159607.0,40898264.0,5.676514949387583
2569,5,57.76273478477849,4336925695.0,15.317834218740945,3171246678.0,573634725.0,5.52833805171052
1865,25,49.61343760729054,16452567446.0,15.332386841833264,16708947336.0,3025809217.0,5.522141727285247
2697,6,21.68850702269158,3264016684.0,15.367892804758993,11785505538.0,2140067071.0,5.507072978087985
82,108,15.723672815658144,199708860967.0,15.623735447098483,1070406991152.0,198204503827.0,5.400518002791146
3289,7,24.6903727716622,324198469.0,15.637077790781984,988857725.0,183289587.0,5.395056757916095
1250,4,59.331505122591544,1118465753.0,15.81095635940104,766646972.0,143978614.0,5.324728101633205
1854,3,65.89108632838607,12341536002.0,15.820922741335739,6388669690.0,1200709878.0,5.320743842502144
1037,12,60.50004258583086,1158975503.0,15.842661835337768,756685137.0,142446363.0,5.3120706002160265
594,3,41.672858500462404,41583679.0,15.880427671124902,58202322.0,10987666.0,5.297059630316393
234,9,54.47459571314069,248445969020.0,16.33731992599186,207630787067.0,40545325488.0,5.1209549946380735
3168,4,31.860342371238982,930493598.0,16.465111578769324,1990045005.0,392247044.0,5.073448061472198
2401,7,94.90016600242845,272448674.0,16.814888650564058,14641102.0,2959526.0,4.947110449443593
249,35,15.988824237601085,32418197621.0,17.063222957681468,170337159116.0,35044777813.0,4.86055754226562
3153,14,36.895345697287254,8045448203.0,17.27669039900707,13760684931.0,2873906936.0,4.788145628039223
3107,17,24.32293853715259,8959473442.0,17.60488947215217,27876015939.0,5956108031.0,4.680240149089398
244,7,90.49682912421932,261132109.0,17.692555411445106,27421768.0,5894499.0,4.652094775145437
1778,4,53.79080594862021,597545443.0,17.719435897180503,513323659.0,110546224.0,4.643520515001942
903,2,33.73154050286528,655136212.0,17.817581975189757,1287070406.0,279043657.0,4.612433838623323
1422,5,4.393483215857484,100177637.0,17.839486981449042,2179963929.0,473334899.0,4.60554236251234
1235,8,26.76686283678471,377372196.0,18.453611996920745,1032476236.0,233645123.0,4.418993312349174
2825,29,61.30320383871714,9512427310.0,18.624044492941483,6004587649.0,1374235262.0,4.369402979997176
472,3,3.285582940808614,8174544125.0,19.05905773175922,240625874926.0,56659859812.0,4.246849104893793
2335,3,36.77170211756045,139352559.0,19.07551674167794,239614285.0,56481872.0,4.242321943578641
748,23,70.56808144449286,2398754105.0,19.144545488617265,1000451394.0,236881820.0,4.223419906179377
1165,16,45.234589834941424,155799056877.0,19.24377234317966,188625547050.0,44948447827.0,4.196486334210964
1360,2,32.467232484059224,539841753.0,19.29476519279288,1122886209.0,268456263.0,4.182752886640607
545,4,38.19956673887386,527846353.0,19.43518029593129,853966055.0,206007837.0,4.1453085835758765
2334,6,34.25780085480524,3756572699.0,19.74454608963309,7209025224.0,1773573307.0,4.064689739943183
1678,3,28.58715898550711,407880848.0,19.814248025234484,1018916576.0,251778717.0,4.046873334412932
2552,5,51.470455227589795,15439104.0,19.871252995894135,14556947.0,3610000.0,4.032395290858726
1900,4,44.2912091108843,408472825.0,19.885686112098146,513770738.0,127526320.0,4.0287427567893435
566,9,15.20474834783415,213442378.0,20.528183909646586,1190345262.0,307475375.0,3.871351525305075
1844,4,73.074815516895,3845240766.0,20.738346048690946,1416819410.0,370702474.0,3.821985309976647
1703,6,79.72167632453544,1359063109.0,21.53633439709921,345696715.0,94885193.0,3.643315717342747
3226,3,66.3612655878444,2249926072.0,22.41145784842037,1140494608.0,329431977.0,3.4620033500876572
1319,23,43.819466117809256,6648812560.0,22.880243543558763,8524381340.0,2529052607.0,3.3705828484571336
1078,8,47.55484351075822,143382325377.0,22.96089230760061,158127078906.0,47128516132.0,3.3552314370159553
1023,5,41.98491739236496,7875679730.0,22.98792622811888,10882674982.0,3248453358.0,3.350109662248689
2780,5,38.32549419917355,153889292.0,23.29796257212398,247643148.0,75220698.0,3.292220819328212
694,2,54.88005399854246,3496483916.0,23.432238164423907,2874653977.0,879738091.0,3.267624769699781
334,4,33.64363330227743,943577732.0,23.480560804678074,1861047213.0,571076222.0,3.2588420622422625
2289,19,89.05851662776878,89230103.0,23.485919955956067,10962564.0,3364948.0,3.257870255350157
1920,30,24.735588328995462,26101822730.0,23.810938859839876,79421532457.0,24821164944.0,3.199750399958504
2143,15,70.02485888362483,99682115800.0,23.909218909311406,42670353579.0,13407863739.0,3.182487114250945
376,1,69.69567925634597,99282022.0,24.342911535236706,43168734.0,13889679.0,3.1079720416864927
3074,14,83.13811655859709,5470025805.0,24.446581844881603,1109418175.0,358970949.0,3.09055141673874
2448,6,40.64603976737789,2035839853.0,24.4671825117532,2972864229.0,962993492.0,3.0871072896098033
1846,3,17.58968650003972,71319612.0,24.717221847108505,334143055.0,109707535.0,3.04576212563704
2509,4,33.84860826361503,2478159374.0,25.189858865825848,4843144222.0,1630769807.0,2.9698515395680243
1005,4,84.06023762341384,12949107562.0,25.27185383503715,2455449846.0,830393537.0,2.9569712872175207
2007,2,69.84349653995629,206558623.0,25.608719186063432,89186340.0,30701823.0,2.9049200107759074
